"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor"
16,15,0.30,0.10,0.10,0.10,5.00,135.00,1.06,1.00,0.93,2.66,0.03,-1.66,107.90
17,15,0.30,0.10,0.10,0.10,10.00,130.00,1.13,1.00,0.88,2.68,0.07,-1.68,100.80
18,15,0.30,0.10,0.10,0.10,15.00,125.00,1.20,1.00,0.83,2.70,0.10,-1.70,93.50
19,15,0.30,0.10,0.10,0.10,20.00,120.00,1.26,1.00,0.78,2.71,0.14,-1.71,85.50
20,15,0.30,0.10,0.10,0.10,25.00,115.00,1.33,1.00,0.75,2.72,0.17,-1.72,77.40
17,16,0.30,0.10,0.10,0.10,5.00,145.00,1.06,1.00,0.94,2.68,0.03,-1.68,117.60
18,16,0.30,0.10,0.10,0.10,10.00,140.00,1.12,1.00,0.88,2.70,0.06,-1.70,110.50
19,16,0.30,0.10,0.10,0.10,15.00,135.00,1.18,1.00,0.84,2.71,0.10,-1.71,102.60
20,16,0.30,0.10,0.10,0.10,20.00,130.00,1.25,1.00,0.80,2.72,0.13,-1.72,94.60
18,17,0.30,0.10,0.10,0.10,5.00,155.00,1.05,1.00,0.94,2.70,0.03,-1.70,127.50
19,17,0.30,0.10,0.10,0.10,10.00,150.00,1.11,1.00,0.89,2.71,0.06,-1.71,119.70
20,17,0.30,0.10,0.10,0.10,15.00,145.00,1.17,1.00,0.85,2.72,0.09,-1.72,111.80
19,18,0.30,0.10,0.10,0.10,5.00,165.00,1.05,1.00,0.94,2.71,0.02,-1.71,136.80
20,18,0.30,0.10,0.10,0.10,10.00,160.00,1.11,1.00,0.90,2.72,0.05,-1.72,129.00
20,19,0.30,0.10,0.10,0.10,5.00,175.00,1.05,1.00,0.95,2.72,0.02,-1.72,146.20
12,11,0.50,0.10,0.10,0.10,2.50,97.50,1.09,1.00,0.91,3.75,0.02,-2.75,130.62
13,11,0.50,0.10,0.10,0.10,5.00,95.00,1.18,1.00,0.84,3.82,0.05,-2.82,126.90
14,11,0.50,0.10,0.10,0.10,7.50,92.50,1.27,1.00,0.78,3.88,0.07,-2.88,122.40
15,11,0.50,0.10,0.10,0.10,10.00,90.00,1.36,1.00,0.73,3.94,0.10,-2.94,117.60
16,11,0.50,0.10,0.10,0.10,12.50,87.50,1.45,1.00,0.68,4.00,0.12,-3.00,112.50
17,11,0.50,0.10,0.10,0.10,15.00,85.00,1.54,1.00,0.64,4.04,0.15,-3.04,106.40
18,11,0.50,0.10,0.10,0.10,17.50,82.50,1.63,1.00,0.61,4.09,0.17,-3.09,100.42
19,11,0.50,0.10,0.10,0.10,20.00,80.00,1.72,1.00,0.57,4.13,0.20,-3.13,93.90
20,11,0.50,0.10,0.10,0.10,22.50,77.50,1.81,1.00,0.55,4.16,0.22,-3.16,86.90
13,12,0.50,0.10,0.10,0.10,2.50,107.50,1.08,1.00,0.92,3.82,0.02,-2.82,148.05
14,12,0.50,0.10,0.10,0.10,5.00,105.00,1.16,1.00,0.85,3.88,0.04,-2.88,144.00
15,12,0.50,0.10,0.10,0.10,7.50,102.50,1.25,1.00,0.80,3.94,0.06,-2.94,139.65
16,12,0.50,0.10,0.10,0.10,10.00,100.00,1.33,1.00,0.75,4.00,0.09,-3.00,135.00
17,12,0.50,0.10,0.10,0.10,12.50,97.50,1.41,1.00,0.70,4.04,0.11,-3.04,129.20
18,12,0.50,0.10,0.10,0.10,15.00,95.00,1.50,1.00,0.66,4.09,0.13,-3.09,123.60
19,12,0.50,0.10,0.10,0.10,17.50,92.50,1.58,1.00,0.63,4.13,0.15,-3.13,117.37
20,12,0.50,0.10,0.10,0.10,20.00,90.00,1.66,1.00,0.60,4.16,0.18,-3.16,110.60
14,13,0.50,0.10,0.10,0.10,2.50,117.50,1.07,1.00,0.92,3.88,0.02,-2.88,165.60
15,13,0.50,0.10,0.10,0.10,5.00,115.00,1.15,1.00,0.86,3.94,0.04,-2.94,161.70
16,13,0.50,0.10,0.10,0.10,7.50,112.50,1.23,1.00,0.81,4.00,0.06,-3.00,157.50
17,13,0.50,0.10,0.10,0.10,10.00,110.00,1.30,1.00,0.76,4.04,0.08,-3.04,152.00
18,13,0.50,0.10,0.10,0.10,12.50,107.50,1.38,1.00,0.72,4.09,0.10,-3.09,146.77
19,13,0.50,0.10,0.10,0.10,15.00,105.00,1.46,1.00,0.68,4.13,0.12,-3.13,140.85
20,13,0.50,0.10,0.10,0.10,17.50,102.50,1.53,1.00,0.65,4.16,0.14,-3.16,134.30
15,14,0.50,0.10,0.10,0.10,2.50,127.50,1.07,1.00,0.93,3.94,0.01,-2.94,183.75
16,14,0.50,0.10,0.10,0.10,5.00,125.00,1.14,1.00,0.87,4.00,0.03,-3.00,180.00
17,14,0.50,0.10,0.10,0.10,7.50,122.50,1.21,1.00,0.82,4.04,0.05,-3.04,174.80
18,14,0.50,0.10,0.10,0.10,10.00,120.00,1.28,1.00,0.77,4.09,0.07,-3.09,169.95
19,14,0.50,0.10,0.10,0.10,12.50,117.50,1.35,1.00,0.73,4.13,0.09,-3.13,164.32
20,14,0.50,0.10,0.10,0.10,15.00,115.00,1.42,1.00,0.70,4.16,0.11,-3.16,158.00
16,15,0.50,0.10,0.10,0.10,2.50,137.50,1.06,1.00,0.93,4.00,0.01,-3.00,202.50
17,15,0.50,0.10,0.10,0.10,5.00,135.00,1.13,1.00,0.88,4.04,0.03,-3.04,197.60
18,15,0.50,0.10,0.10,0.10,7.50,132.50,1.20,1.00,0.83,4.09,0.05,-3.09,193.12
19,15,0.50,0.10,0.10,0.10,10.00,130.00,1.26,1.00,0.78,4.13,0.07,-3.13,187.80
20,15,0.50,0.10,0.10,0.10,12.50,127.50,1.33,1.00,0.75,4.16,0.08,-3.16,181.70
17,16,0.50,0.10,0.10,0.10,2.50,147.50,1.06,1.00,0.94,4.04,0.01,-3.04,220.40
18,16,0.50,0.10,0.10,0.10,5.00,145.00,1.12,1.00,0.88,4.09,0.03,-3.09,216.30
19,16,0.50,0.10,0.10,0.10,7.50,142.50,1.18,1.00,0.84,4.13,0.05,-3.13,211.27
20,16,0.50,0.10,0.10,0.10,10.00,140.00,1.25,1.00,0.80,4.16,0.06,-3.16,205.40
18,17,0.50,0.10,0.10,0.10,2.50,157.50,1.05,1.00,0.94,4.09,0.01,-3.09,239.47
19,17,0.50,0.10,0.10,0.10,5.00,155.00,1.11,1.00,0.89,4.13,0.03,-3.13,234.75
20,17,0.50,0.10,0.10,0.10,7.50,152.50,1.17,1.00,0.85,4.16,0.04,-3.16,229.10
19,18,0.50,0.10,0.10,0.10,2.50,167.50,1.05,1.00,0.94,4.13,0.01,-3.13,258.22
20,18,0.50,0.10,0.10,0.10,5.00,165.00,1.11,1.00,0.90,4.16,0.02,-3.16,252.80
20,19,0.50,0.10,0.10,0.10,2.50,177.50,1.05,1.00,0.95,4.16,0.01,-3.16,276.50
11,11,0.30,0.10,0.30,0.10,16.66,50.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
11,12,0.30,0.10,0.30,0.10,1.83,103.40,0.91,1.00,1.09,1.00,0.01,0.00,0.00
12,12,0.30,0.10,0.30,0.10,18.33,55.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
11,13,0.30,0.10,0.30,0.10,1.00,115.80,0.84,1.00,1.18,1.00,8.56164383561644e-03,0.00,0.00
12,13,0.30,0.10,0.30,0.10,2.20,112.20,0.92,1.00,1.08,1.00,0.01,0.00,0.00
13,13,0.30,0.10,0.30,0.10,20.00,60.00,1.00,1.00,1.00,1.00,0.25,0.00,0.00
12,14,0.30,0.10,0.30,0.10,1.20,125.10,0.85,1.00,1.16,1.00,9.50118764845606e-03,0.00,0.00
13,14,0.30,0.10,0.30,0.10,2.60,120.90,0.92,1.00,1.07,1.00,0.02,0.00,0.00
14,14,0.30,0.10,0.30,0.10,21.66,65.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
13,15,0.30,0.10,0.30,0.10,1.40,134.40,0.86,1.00,1.15,1.00,0.01,0.00,0.00
14,15,0.30,0.10,0.30,0.10,3.03,129.50,0.93,1.00,1.07,1.00,0.02,0.00,0.00
15,15,0.30,0.10,0.30,0.10,23.33,70.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
13,16,0.30,0.10,0.30,0.10,1.00,145.50,0.81,1.00,1.23,1.00,6.8259385665529e-03,0.00,0.00
14,16,0.30,0.10,0.30,0.10,1.63,143.60,0.87,1.00,1.14,1.00,0.01,0.00,0.00
15,16,0.30,0.10,0.30,0.10,3.50,138.00,0.93,1.00,1.06,1.00,0.02,0.00,0.00
16,16,0.30,0.10,0.30,0.10,25.00,75.00,1.00,1.00,1.00,1.00,0.25,0.00,0.00
14,17,0.30,0.10,0.30,0.10,1.16,154.90,0.82,1.00,1.21,1.00,7.43303857490709e-03,0.00,0.00
15,17,0.30,0.10,0.30,0.10,1.86,152.80,0.88,1.00,1.13,1.00,0.01,0.00,0.00
16,17,0.30,0.10,0.30,0.10,4.00,146.40,0.94,1.00,1.06,1.00,0.02,0.00,0.00
17,17,0.30,0.10,0.30,0.10,26.66,80.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
15,18,0.30,0.10,0.30,0.10,1.33,164.30,0.83,1.00,1.20,1.00,8.02994626577311e-03,0.00,0.00
16,18,0.30,0.10,0.30,0.10,2.13,161.90,0.88,1.00,1.12,1.00,0.01,0.00,0.00
17,18,0.30,0.10,0.30,0.10,4.53,154.70,0.94,1.00,1.05,1.00,0.02,0.00,0.00
18,18,0.30,0.10,0.30,0.10,28.33,85.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
15,19,0.30,0.10,0.30,0.10,1.06,175.00,0.78,1.00,1.26,1.00,6.02067476996478e-03,0.00,0.00
16,19,0.30,0.10,0.30,0.10,1.50,173.70,0.84,1.00,1.18,1.00,8.56164383561644e-03,0.00,0.00
17,19,0.30,0.10,0.30,0.10,2.40,171.00,0.89,1.00,1.11,1.00,0.01,0.00,0.00
18,19,0.30,0.10,0.30,0.10,5.10,162.90,0.94,1.00,1.05,1.00,0.03,0.00,0.00
19,19,0.30,0.10,0.30,0.10,30.00,90.00,1.00,1.00,1.00,1.00,0.25,0.00,0.00
16,20,0.30,0.10,0.30,0.10,1.20,184.50,0.80,1.00,1.25,1.00,6.46203554119548e-03,0.00,0.00
17,20,0.30,0.10,0.30,0.10,1.70,183.00,0.85,1.00,1.17,1.00,9.2041147807255e-03,0.00,0.00
18,20,0.30,0.10,0.30,0.10,2.70,180.00,0.90,1.00,1.11,1.00,0.01,0.00,0.00
19,20,0.30,0.10,0.30,0.10,5.70,171.00,0.95,1.00,1.05,1.00,0.03,0.00,0.00
20,20,0.30,0.10,0.30,0.10,31.66,95.00,1.00,1.00,1.00,1.00,0.24,0.00,0.00
12,11,0.50,0.10,0.30,0.10,5.00,85.00,1.09,1.00,0.91,1.57,0.05,-0.57,22.80
13,11,0.50,0.10,0.30,0.10,10.00,70.00,1.18,1.00,0.84,1.58,0.12,-0.58,17.40
14,11,0.50,0.10,0.30,0.10,15.00,55.00,1.27,1.00,0.78,1.59,0.21,-0.59,11.80
15,11,0.50,0.10,0.30,0.10,20.00,40.00,1.36,1.00,0.73,1.59,0.33,-0.59,5.90
13,12,0.50,0.10,0.30,0.10,5.00,95.00,1.08,1.00,0.92,1.58,0.05,-0.58,26.10
14,12,0.50,0.10,0.30,0.10,10.00,80.00,1.16,1.00,0.85,1.59,0.11,-0.59,20.65
15,12,0.50,0.10,0.30,0.10,15.00,65.00,1.25,1.00,0.80,1.59,0.18,-0.59,14.75
16,12,0.50,0.10,0.30,0.10,20.00,50.00,1.33,1.00,0.75,1.60,0.28,-0.60,9.00
14,13,0.50,0.10,0.30,0.10,5.00,105.00,1.07,1.00,0.92,1.59,0.04,-0.59,29.50
15,13,0.50,0.10,0.30,0.10,10.00,90.00,1.15,1.00,0.86,1.59,0.10,-0.59,23.60
16,13,0.50,0.10,0.30,0.10,15.00,75.00,1.23,1.00,0.81,1.60,0.16,-0.60,18.00
17,13,0.50,0.10,0.30,0.10,20.00,60.00,1.30,1.00,0.76,1.60,0.25,-0.60,12.00
15,14,0.50,0.10,0.30,0.10,5.00,115.00,1.07,1.00,0.93,1.59,0.04,-0.59,32.45
16,14,0.50,0.10,0.30,0.10,10.00,100.00,1.14,1.00,0.87,1.60,0.09,-0.60,27.00
17,14,0.50,0.10,0.30,0.10,15.00,85.00,1.21,1.00,0.82,1.60,0.15,-0.60,21.00
18,14,0.50,0.10,0.30,0.10,20.00,70.00,1.28,1.00,0.77,1.60,0.22,-0.60,15.00
19,14,0.50,0.10,0.30,0.10,25.00,55.00,1.35,1.00,0.73,1.61,0.31,-0.61,9.15
16,15,0.50,0.10,0.30,0.10,5.00,125.00,1.06,1.00,0.93,1.60,0.03,-0.60,36.00
17,15,0.50,0.10,0.30,0.10,10.00,110.00,1.13,1.00,0.88,1.60,0.08,-0.60,30.00
18,15,0.50,0.10,0.30,0.10,15.00,95.00,1.20,1.00,0.83,1.60,0.13,-0.60,24.00
19,15,0.50,0.10,0.30,0.10,20.00,80.00,1.26,1.00,0.78,1.61,0.20,-0.61,18.30
20,15,0.50,0.10,0.30,0.10,25.00,65.00,1.33,1.00,0.75,1.61,0.27,-0.61,12.20
17,16,0.50,0.10,0.30,0.10,5.00,135.00,1.06,1.00,0.94,1.60,0.03,-0.60,39.00
18,16,0.50,0.10,0.30,0.10,10.00,120.00,1.12,1.00,0.88,1.60,0.07,-0.60,33.00
19,16,0.50,0.10,0.30,0.10,15.00,105.00,1.18,1.00,0.84,1.61,0.12,-0.61,27.45
20,16,0.50,0.10,0.30,0.10,20.00,90.00,1.25,1.00,0.80,1.61,0.18,-0.61,21.35
18,17,0.50,0.10,0.30,0.10,5.00,145.00,1.05,1.00,0.94,1.60,0.03,-0.60,42.00
19,17,0.50,0.10,0.30,0.10,10.00,130.00,1.11,1.00,0.89,1.61,0.07,-0.61,36.60
20,17,0.50,0.10,0.30,0.10,15.00,115.00,1.17,1.00,0.85,1.61,0.11,-0.61,30.50
19,18,0.50,0.10,0.30,0.10,5.00,155.00,1.05,1.00,0.94,1.61,0.03,-0.61,45.75
20,18,0.50,0.10,0.30,0.10,10.00,140.00,1.11,1.00,0.90,1.61,0.06,-0.61,39.65
20,19,0.50,0.10,0.30,0.10,5.00,165.00,1.05,1.00,0.95,1.61,0.02,-0.61,48.80
11,11,0.50,0.10,0.50,0.10,10.00,50.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
11,12,0.50,0.10,0.50,0.10,1.10,103.40,0.91,1.00,1.09,1.00,0.01,0.00,0.00
12,12,0.50,0.10,0.50,0.10,11.00,55.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
12,13,0.50,0.10,0.50,0.10,1.32,112.20,0.92,1.00,1.08,1.00,0.01,0.00,0.00
13,13,0.50,0.10,0.50,0.10,12.00,60.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
13,14,0.50,0.10,0.50,0.10,1.56,120.90,0.92,1.00,1.07,1.00,0.01,0.00,0.00
14,14,0.50,0.10,0.50,0.10,13.00,65.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
14,15,0.50,0.10,0.50,0.10,1.82,129.50,0.93,1.00,1.07,1.00,0.01,0.00,0.00
15,15,0.50,0.10,0.50,0.10,14.00,70.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
15,16,0.50,0.10,0.50,0.10,2.10,138.00,0.93,1.00,1.06,1.00,0.01,0.00,0.00
16,16,0.50,0.10,0.50,0.10,15.00,75.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
15,17,0.50,0.10,0.50,0.10,1.12,152.80,0.88,1.00,1.13,1.00,7.27650727650728e-03,0.00,0.00
16,17,0.50,0.10,0.50,0.10,2.40,146.40,0.94,1.00,1.06,1.00,0.01,0.00,0.00
17,17,0.50,0.10,0.50,0.10,16.00,80.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
16,18,0.50,0.10,0.50,0.10,1.28,161.90,0.88,1.00,1.12,1.00,7.84409854148793e-03,0.00,0.00
17,18,0.50,0.10,0.50,0.10,2.72,154.70,0.94,1.00,1.05,1.00,0.01,0.00,0.00
18,18,0.50,0.10,0.50,0.10,17.00,85.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
17,19,0.50,0.10,0.50,0.10,1.44,171.00,0.89,1.00,1.11,1.00,8.35073068893528e-03,0.00,0.00
18,19,0.50,0.10,0.50,0.10,3.06,162.90,0.94,1.00,1.05,1.00,0.01,0.00,0.00
19,19,0.50,0.10,0.50,0.10,18.00,90.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
17,20,0.50,0.10,0.50,0.10,1.02,183.00,0.85,1.00,1.17,1.00,5.54287577437235e-03,0.00,0.00
18,20,0.50,0.10,0.50,0.10,1.62,180.00,0.90,1.00,1.11,1.00,8.9197224975223e-03,0.00,0.00
19,20,0.50,0.10,0.50,0.10,3.42,171.00,0.95,1.00,1.05,1.00,0.01,0.00,0.00
20,20,0.50,0.10,0.50,0.10,19.00,95.00,1.00,1.00,1.00,1.00,0.16,0.00,0.00
14,13,0.70,0.10,0.10,0.10,1.66,118.33,1.07,1.00,0.92,4.90,0.01,-3.90,227.50
15,13,0.70,0.10,0.10,0.10,3.33,116.66,1.15,1.00,0.86,5.00,0.02,-4.00,226.66
16,13,0.70,0.10,0.10,0.10,5.00,115.00,1.23,1.00,0.81,5.09,0.04,-4.09,224.95
17,13,0.70,0.10,0.10,0.10,6.66,113.33,1.30,1.00,0.76,5.17,0.05,-4.17,222.40
18,13,0.70,0.10,0.10,0.10,8.33,111.66,1.38,1.00,0.72,5.25,0.06,-4.25,219.57
19,13,0.70,0.10,0.10,0.10,10.00,110.00,1.46,1.00,0.68,5.32,0.08,-4.32,216.00
20,13,0.70,0.10,0.10,0.10,11.66,108.33,1.53,1.00,0.65,5.38,0.09,-4.38,211.70
15,14,0.70,0.10,0.10,0.10,1.66,128.33,1.07,1.00,0.93,5.00,0.01,-4.00,253.34
16,14,0.70,0.10,0.10,0.10,3.33,126.66,1.14,1.00,0.87,5.09,0.02,-4.09,252.20
17,14,0.70,0.10,0.10,0.10,5.00,125.00,1.21,1.00,0.82,5.17,0.03,-4.17,250.20
18,14,0.70,0.10,0.10,0.10,6.66,123.33,1.28,1.00,0.77,5.25,0.05,-4.25,247.92
19,14,0.70,0.10,0.10,0.10,8.33,121.66,1.35,1.00,0.73,5.32,0.06,-4.32,244.79
20,14,0.70,0.10,0.10,0.10,10.00,120.00,1.42,1.00,0.70,5.38,0.07,-4.38,240.90
16,15,0.70,0.10,0.10,0.10,1.66,138.33,1.06,1.00,0.93,5.09,0.01,-4.09,279.49
17,15,0.70,0.10,0.10,0.10,3.33,136.66,1.13,1.00,0.88,5.17,0.02,-4.17,277.99
18,15,0.70,0.10,0.10,0.10,5.00,135.00,1.20,1.00,0.83,5.25,0.03,-4.25,276.25
19,15,0.70,0.10,0.10,0.10,6.66,133.33,1.26,1.00,0.78,5.32,0.04,-4.32,273.60
20,15,0.70,0.10,0.10,0.10,8.33,131.66,1.33,1.00,0.75,5.38,0.05,-4.38,270.09
17,16,0.70,0.10,0.10,0.10,1.66,148.33,1.06,1.00,0.94,5.17,0.01,-4.17,305.80
18,16,0.70,0.10,0.10,0.10,3.33,146.66,1.12,1.00,0.88,5.25,0.02,-4.25,304.57
19,16,0.70,0.10,0.10,0.10,5.00,145.00,1.18,1.00,0.84,5.32,0.03,-4.32,302.40
20,16,0.70,0.10,0.10,0.10,6.66,143.33,1.25,1.00,0.80,5.38,0.04,-4.38,299.30
18,17,0.70,0.10,0.10,0.10,1.66,158.33,1.05,1.00,0.94,5.25,0.01,-4.25,332.92
19,17,0.70,0.10,0.10,0.10,3.33,156.66,1.11,1.00,0.89,5.32,0.02,-4.32,331.19
20,17,0.70,0.10,0.10,0.10,5.00,155.00,1.17,1.00,0.85,5.38,0.03,-4.38,328.50
19,18,0.70,0.10,0.10,0.10,1.66,168.33,1.05,1.00,0.94,5.32,9.76528031060651e-03,-4.32,360.00
20,18,0.70,0.10,0.10,0.10,3.33,166.66,1.11,1.00,0.90,5.38,0.01,-4.38,357.69
20,19,0.70,0.10,0.10,0.10,1.66,178.33,1.05,1.00,0.95,5.38,9.22273459636646e-03,-4.38,386.90
12,11,0.90,0.10,0.10,0.10,1.25,98.75,1.09,1.00,0.91,5.40,0.01,-4.40,214.50
13,11,0.90,0.10,0.10,0.10,2.50,97.50,1.18,1.00,0.84,5.57,0.02,-4.57,217.07
14,11,0.90,0.10,0.10,0.10,3.75,96.25,1.27,1.00,0.78,5.72,0.03,-4.72,218.30
15,11,0.90,0.10,0.10,0.10,5.00,95.00,1.36,1.00,0.73,5.86,0.05,-4.86,218.70
16,11,0.90,0.10,0.10,0.10,6.25,93.75,1.45,1.00,0.68,6.00,0.06,-5.00,218.75
17,11,0.90,0.10,0.10,0.10,7.50,92.50,1.54,1.00,0.64,6.12,0.07,-5.12,217.60
18,11,0.90,0.10,0.10,0.10,8.75,91.25,1.63,1.00,0.61,6.23,0.08,-5.23,215.73
19,11,0.90,0.10,0.10,0.10,10.00,90.00,1.72,1.00,0.57,6.33,0.10,-5.33,213.20
20,11,0.90,0.10,0.10,0.10,11.25,88.75,1.81,1.00,0.55,6.42,0.11,-5.42,210.02
13,12,0.90,0.10,0.10,0.10,1.25,108.75,1.08,1.00,0.92,5.57,0.01,-4.57,245.63
14,12,0.90,0.10,0.10,0.10,2.50,107.50,1.16,1.00,0.85,5.72,0.02,-4.72,247.80
11,15,0.30,0.10,0.10,0.30,20.00,40.00,0.73,2.64,1.36,2.53,0.33,0.10,-1.10
11,16,0.30,0.10,0.10,0.30,18.75,43.75,0.68,2.66,1.45,2.53,0.30,0.12,-1.62
12,16,0.30,0.10,0.10,0.30,22.50,42.50,0.75,2.66,1.33,2.57,0.34,0.09,-0.90
11,17,0.30,0.10,0.10,0.30,17.50,47.50,0.64,2.68,1.54,2.53,0.26,0.14,-2.25
12,17,0.30,0.10,0.10,0.30,21.25,46.25,0.70,2.68,1.41,2.57,0.31,0.11,-1.37
11,18,0.30,0.10,0.10,0.30,16.25,51.25,0.61,2.70,1.63,2.53,0.24,0.16,-2.97
12,18,0.30,0.10,0.10,0.30,20.00,50.00,0.66,2.70,1.50,2.57,0.28,0.12,-1.95
13,18,0.30,0.10,0.10,0.30,23.75,48.75,0.72,2.70,1.38,2.60,0.32,0.09,-1.25
11,19,0.30,0.10,0.10,0.30,15.00,55.00,0.57,2.71,1.72,2.53,0.21,0.17,-3.60
12,19,0.30,0.10,0.10,0.30,18.75,53.75,0.63,2.71,1.58,2.57,0.25,0.14,-2.45
13,19,0.30,0.10,0.10,0.30,22.50,52.50,0.68,2.71,1.46,2.60,0.30,0.11,-1.65
14,19,0.30,0.10,0.10,0.30,26.25,51.25,0.73,2.71,1.35,2.62,0.33,0.08,-1.12
11,20,0.30,0.10,0.10,0.30,13.75,58.75,0.55,2.72,1.81,2.53,0.18,0.18,-4.27
12,20,0.30,0.10,0.10,0.30,17.50,57.50,0.60,2.72,1.66,2.57,0.23,0.15,-3.00
13,20,0.30,0.10,0.10,0.30,21.25,56.25,0.65,2.72,1.53,2.60,0.27,0.12,-2.10
14,20,0.30,0.10,0.10,0.30,25.00,55.00,0.70,2.72,1.42,2.62,0.31,0.10,-1.50
15,20,0.30,0.10,0.10,0.30,28.75,53.75,0.75,2.72,1.33,2.64,0.34,0.08,-1.00
11,11,0.50,0.10,0.10,0.30,14.28,28.57,1.00,2.53,1.00,3.66,0.33,-1.12,8.07
11,12,0.50,0.10,0.10,0.30,13.57,32.14,0.91,2.57,1.09,3.66,0.29,-1.09,10.12
12,12,0.50,0.10,0.10,0.30,15.71,31.42,1.00,2.57,1.00,3.75,0.33,-1.17,9.26
11,13,0.50,0.10,0.10,0.30,12.85,35.71,0.84,2.60,1.18,3.66,0.26,-1.06,12.11
12,13,0.50,0.10,0.10,0.30,15.00,35.00,0.92,2.60,1.08,3.75,0.30,-1.15,11.50
13,13,0.50,0.10,0.10,0.30,17.14,34.28,1.00,2.60,1.00,3.82,0.33,-1.22,10.45
11,14,0.50,0.10,0.10,0.30,12.14,39.28,0.78,2.62,1.27,3.66,0.23,-1.04,14.11
12,14,0.50,0.10,0.10,0.30,14.28,38.57,0.85,2.62,1.16,3.75,0.27,-1.12,13.72
13,14,0.50,0.10,0.10,0.30,16.42,37.85,0.92,2.62,1.07,3.82,0.30,-1.19,12.85
14,14,0.50,0.10,0.10,0.30,18.57,37.14,1.00,2.62,1.00,3.88,0.33,-1.26,11.69
